,player_name,player_id,pts,score
85,Buddy Hield,1627741.0,15.761806981519507,0.028679970822493673
86,Zach LaVine,203897.0,19.307539682539684,0.033143581506676754
87,Richard Hamilton,1888.0,17.07566204287516,0.018104505215083427
88,Carlos Boozer,2430.0,16.68266085059978,0.02195057849490242
89,Kemba Walker,202689.0,19.03030303030303,0.021302479338842974
90,Tony Parker,2225.0,16.068401486988847,0.011391219026823841
91,Tracy McGrady,1503.0,18.685314685314687,0.029955621301775145
92,Corey Maggette,1894.0,17.90066225165563,0.026555852813473085
93,Chauncey Billups,1497.0,16.45562130177515,0.020412450544448724
94,Paul Pierce,1718.0,17.85256950294861,0.014594359421676417
95,D'Angelo Russell,1626156.0,17.635555555555555,0.03479012345679012
96,Brook Lopez,201572.0,16.158002038735983,0.017636832747794227
